,2021 National Employment Matrix title,2021 National Employment Matrix code,Occupation type,"Employment, 2021","Employment, 2031","Employment distribution, percent, 2021","Employment distribution, percent, 2031","Employment change, 2021–31","Percent employment change, 2021–31","Occupational openings, 2021–31 annual average"
3,Chief executives,11-1011,Line item,283.9,263.3,0.2,0.2,-20.6,-7.3,17.7
4,General and operations managers,11-1021,Line item,3118.4,3328.2,2.0,2.0,209.8,6.7,300.4
5,Legislators,11-1031,Line item,45.5,47.0,0.0,0.0,1.5,3.3,3.8
7,Advertising and promotions managers,11-2011,Line item,28.0,30.0,0.0,0.0,2.0,7.1,3.0
9,Marketing managers,11-2021,Line item,319.0,350.7,0.2,0.2,31.7,9.9,32.2
10,Sales managers,11-2022,Line item,469.8,493.6,0.3,0.3,23.8,5.1,41.9
12,Public relations managers,11-2032,Line item,66.7,71.7,0.0,0.0,5.0,7.6,6.1
13,Fundraising managers,11-2033,Line item,31.4,34.5,0.0,0.0,3.0,9.7,3.0
16,Administrative services managers,11-3012,Line item,239.0,255.1,0.2,0.2,16.1,6.7,22.0
17,Facilities managers,11-3013,Line item,109.1,116.6,0.1,0.1,7.6,6.9,9.9
18,Computer and information systems managers,11-3021,Line item,509.1,591.5,0.3,0.4,82.4,16.2,48.5
19,Financial managers,11-3031,Line item,730.8,854.0,0.5,0.5,123.1,16.8,71.3
20,Industrial production managers,11-3051,Line item,203.8,210.9,0.1,0.1,7.1,3.5,15.4
21,Purchasing managers,11-3061,Line item,72.8,75.6,0.0,0.0,2.8,3.8,6.3
22,"Transportation, storage, and distribution managers",11-3071,Line item,150.7,163.4,0.1,0.1,12.7,8.4,14.2
23,Compensation and benefits managers,11-3111,Line item,15.7,15.9,0.0,0.0,0.2,1.5,1.2
24,Human resources managers,11-3121,Line item,174.2,186.9,0.1,0.1,12.6,7.3,16.3
25,Training and development managers,11-3131,Line item,38.1,40.9,0.0,0.0,2.9,7.5,3.7
27,"Farmers, ranchers, and other agricultural managers",11-9013,Line item,847.6,824.0,0.5,0.5,-23.6,-2.8,85.6
28,Construction managers,11-9021,Line item,478.5,514.9,0.3,0.3,36.4,7.6,41.5
30,"Education and childcare administrators, preschool and daycare",11-9031,Line item,74.6,80.8,0.0,0.0,6.2,8.3,6.4
31,"Education administrators, kindergarten through secondary",11-9032,Line item,292.2,306.5,0.2,0.2,14.2,4.9,23.5
32,"Education administrators, postsecondary",11-9033,Line item,210.1,225.6,0.1,0.1,15.5,7.4,17.6
33,"Education administrators, all other",11-9039,Line item,60.8,66.8,0.0,0.0,6.0,9.9,5.3
34,Architectural and engineering managers,11-9041,Line item,191.1,195.5,0.1,0.1,4.4,2.3,14.0
35,Food service managers,11-9051,Line item,329.1,361.4,0.2,0.2,32.3,9.8,45.0
37,Gambling managers,11-9071,Line item,4.1,4.7,0.0,0.0,0.5,13.0,0.5
38,"Entertainment and recreation managers, except gambling",11-9072,Line item,21.6,25.2,0.0,0.0,3.6,16.5,3.0
39,Lodging managers,11-9081,Line item,51.2,60.4,0.0,0.0,9.2,18.0,7.1
40,Medical and health services managers,11-9111,Line item,480.7,616.9,0.3,0.4,136.2,28.3,56.6
41,Natural sciences managers,11-9121,Line item,78.8,83.4,0.0,0.1,4.6,5.9,6.9
42,Postmasters and mail superintendents,11-9131,Line item,12.3,11.7,0.0,0.0,-0.6,-4.8,0.9
43,"Property, real estate, and community association managers",11-9141,Line item,392.9,404.0,0.2,0.2,11.1,2.8,33.3
44,Social and community service managers,11-9151,Line item,173.7,194.1,0.1,0.1,20.4,11.7,18.0
45,Emergency management directors,11-9161,Line item,10.6,10.9,0.0,0.0,0.3,2.5,0.9
47,Funeral home managers,11-9171,Line item,40.7,43.5,0.0,0.0,2.8,6.9,3.6
48,"Personal service managers, all other",11-9179,Line item,22.9,25.1,0.0,0.0,2.2,9.5,2.1
49,"Managers, all other",11-9199,Line item,1305.8,1384.3,0.8,0.8,78.4,6.0,113.1
52,"Agents and business managers of artists, performers, and athletes",13-1011,Line item,22.6,25.7,0.0,0.0,3.1,13.8,2.8
53,Buyers and purchasing agents,13-1020,Line item,459.8,427.5,0.3,0.3,-32.2,-7.0,41.0
55,"Claims adjusters, examiners, and investigators",13-1031,Line item,314.3,295.9,0.2,0.2,-18.3,-5.8,22.3
56,"Insurance appraisers, auto damage",13-1032,Line item,13.2,12.5,0.0,0.0,-0.7,-5.3,0.9
57,Compliance officers,13-1041,Line item,354.0,369.1,0.2,0.2,15.1,4.3,30.2
58,Cost estimators,13-1051,Line item,212.1,207.7,0.1,0.1,-4.4,-2.1,18.5
60,Human resources specialists,13-1071,Line item,782.8,841.6,0.5,0.5,58.8,7.5,81.9
61,Farm labor contractors,13-1074,Line item,1.2,1.5,0.0,0.0,0.3,22.3,0.2
62,Labor relations specialists,13-1075,Line item,65.0,63.3,0.0,0.0,-1.7,-2.6,5.8
64,Logisticians,13-1081,Line item,195.0,249.1,0.1,0.1,54.1,27.7,24.8
65,Project management specialists,13-1082,Line item,781.4,837.6,0.5,0.5,56.3,7.2,70.4
66,Management analysts,13-1111,Line item,950.6,1059.0,0.6,0.6,108.4,11.4,101.9
