,top_parent,second_level,third_level,fourth_level,fifth_level
0,"Total, all occupations",Management occupations,Top executives,Chief executives,Chief executives
1,"Total, all occupations",Management occupations,Top executives,General and operations managers,General and operations managers
2,"Total, all occupations",Management occupations,Top executives,Legislators,Legislators
3,"Total, all occupations",Management occupations,Top executives,"Agents and business managers of artists, performers, and athletes","Agents and business managers of artists, performers, and athletes"
4,"Total, all occupations",Management occupations,Top executives,Buyers and purchasing agents,Buyers and purchasing agents
5,"Total, all occupations",Management occupations,Top executives,"Claims adjusters, appraisers, examiners, and investigators","Claims adjusters, examiners, and investigators"
6,"Total, all occupations",Management occupations,Top executives,"Claims adjusters, appraisers, examiners, and investigators","Insurance appraisers, auto damage"
7,"Total, all occupations",Management occupations,Top executives,"Claims adjusters, examiners, and investigators","Claims adjusters, examiners, and investigators"
8,"Total, all occupations",Management occupations,Top executives,"Insurance appraisers, auto damage","Insurance appraisers, auto damage"
9,"Total, all occupations",Management occupations,Top executives,Compliance officers,Compliance officers
10,"Total, all occupations",Management occupations,Top executives,Cost estimators,Cost estimators
11,"Total, all occupations",Management occupations,Top executives,Human resources workers,Human resources specialists
12,"Total, all occupations",Management occupations,Top executives,Human resources workers,Farm labor contractors
13,"Total, all occupations",Management occupations,Top executives,Human resources workers,Labor relations specialists
14,"Total, all occupations",Management occupations,Top executives,Human resources specialists,Human resources specialists
15,"Total, all occupations",Management occupations,Top executives,Farm labor contractors,Farm labor contractors
16,"Total, all occupations",Management occupations,Top executives,Labor relations specialists,Labor relations specialists
17,"Total, all occupations",Management occupations,Top executives,Logisticians and project management specialists,Logisticians
18,"Total, all occupations",Management occupations,Top executives,Logisticians and project management specialists,Project management specialists
19,"Total, all occupations",Management occupations,Top executives,Logisticians,Logisticians
20,"Total, all occupations",Management occupations,Top executives,Project management specialists,Project management specialists
21,"Total, all occupations",Management occupations,Top executives,"Architects, except naval","Architects, except landscape and naval"
22,"Total, all occupations",Management occupations,Top executives,"Architects, except naval",Landscape architects
23,"Total, all occupations",Management occupations,Top executives,"Architects, except landscape and naval","Architects, except landscape and naval"
24,"Total, all occupations",Management occupations,Top executives,Landscape architects,Landscape architects
25,"Total, all occupations",Management occupations,Top executives,"Surveyors, cartographers, and photogrammetrists",Cartographers and photogrammetrists
26,"Total, all occupations",Management occupations,Top executives,"Surveyors, cartographers, and photogrammetrists",Surveyors
27,"Total, all occupations",Management occupations,Top executives,Cartographers and photogrammetrists,Cartographers and photogrammetrists
28,"Total, all occupations",Management occupations,Top executives,Surveyors,Surveyors
29,"Total, all occupations",Management occupations,Top executives,Agricultural and food scientists,Animal scientists
30,"Total, all occupations",Management occupations,Top executives,Agricultural and food scientists,Food scientists and technologists
31,"Total, all occupations",Management occupations,Top executives,Agricultural and food scientists,Soil and plant scientists
32,"Total, all occupations",Management occupations,Top executives,Animal scientists,Animal scientists
33,"Total, all occupations",Management occupations,Top executives,Food scientists and technologists,Food scientists and technologists
34,"Total, all occupations",Management occupations,Top executives,Soil and plant scientists,Soil and plant scientists
35,"Total, all occupations",Management occupations,Top executives,Biological scientists,Biochemists and biophysicists
36,"Total, all occupations",Management occupations,Top executives,Biological scientists,Microbiologists
37,"Total, all occupations",Management occupations,Top executives,Biological scientists,Zoologists and wildlife biologists
38,"Total, all occupations",Management occupations,Top executives,Biological scientists,"Biological scientists, all other"
39,"Total, all occupations",Management occupations,Top executives,Biochemists and biophysicists,Biochemists and biophysicists
40,"Total, all occupations",Management occupations,Top executives,Microbiologists,Microbiologists
41,"Total, all occupations",Management occupations,Top executives,Zoologists and wildlife biologists,Zoologists and wildlife biologists
42,"Total, all occupations",Management occupations,Top executives,"Biological scientists, all other","Biological scientists, all other"
43,"Total, all occupations",Management occupations,Top executives,Conservation scientists and foresters,Conservation scientists
44,"Total, all occupations",Management occupations,Top executives,Conservation scientists and foresters,Foresters
45,"Total, all occupations",Management occupations,Top executives,Conservation scientists,Conservation scientists
46,"Total, all occupations",Management occupations,Top executives,Foresters,Foresters
47,"Total, all occupations",Management occupations,Top executives,Medical scientists,Epidemiologists
48,"Total, all occupations",Management occupations,Top executives,Medical scientists,"Medical scientists, except epidemiologists"
49,"Total, all occupations",Management occupations,Top executives,Epidemiologists,Epidemiologists
50,"Total, all occupations",Management occupations,Top executives,"Medical scientists, except epidemiologists","Medical scientists, except epidemiologists"
51,"Total, all occupations",Management occupations,Top executives,"Life scientists, all other","Life scientists, all other"
52,"Total, all occupations",Management occupations,Top executives,Counselors,"Educational, guidance, and career counselors and advisors"
53,"Total, all occupations",Management occupations,Top executives,Counselors,Marriage and family therapists
54,"Total, all occupations",Management occupations,Top executives,Counselors,Rehabilitation counselors
55,"Total, all occupations",Management occupations,Top executives,Counselors,"Substance abuse, behavioral disorder, and mental health counselors"
56,"Total, all occupations",Management occupations,Top executives,Counselors,"Counselors, all other"
57,"Total, all occupations",Management occupations,Top executives,"Educational, guidance, and career counselors and advisors","Educational, guidance, and career counselors and advisors"
58,"Total, all occupations",Management occupations,Top executives,Marriage and family therapists,Marriage and family therapists
59,"Total, all occupations",Management occupations,Top executives,Rehabilitation counselors,Rehabilitation counselors
60,"Total, all occupations",Management occupations,Top executives,"Substance abuse, behavioral disorder, and mental health counselors","Substance abuse, behavioral disorder, and mental health counselors"
61,"Total, all occupations",Management occupations,Top executives,"Counselors, all other","Counselors, all other"
62,"Total, all occupations",Management occupations,Top executives,Social workers,"Child, family, and school social workers"
63,"Total, all occupations",Management occupations,Top executives,Social workers,Healthcare social workers
64,"Total, all occupations",Management occupations,Top executives,Social workers,Mental health and substance abuse social workers
65,"Total, all occupations",Management occupations,Top executives,Social workers,"Social workers, all other"
66,"Total, all occupations",Management occupations,Top executives,"Child, family, and school social workers","Child, family, and school social workers"
67,"Total, all occupations",Management occupations,Top executives,Healthcare social workers,Healthcare social workers
68,"Total, all occupations",Management occupations,Top executives,Mental health and substance abuse social workers,Mental health and substance abuse social workers
69,"Total, all occupations",Management occupations,Top executives,"Social workers, all other","Social workers, all other"
70,"Total, all occupations",Management occupations,Top executives,Miscellaneous community and social service specialists,Health education specialists
71,"Total, all occupations",Management occupations,Top executives,Miscellaneous community and social service specialists,Probation officers and correctional treatment specialists
72,"Total, all occupations",Management occupations,Top executives,Miscellaneous community and social service specialists,Social and human service assistants
73,"Total, all occupations",Management occupations,Top executives,Miscellaneous community and social service specialists,Community health workers
74,"Total, all occupations",Management occupations,Top executives,Miscellaneous community and social service specialists,"Community and social service specialists, all other"
75,"Total, all occupations",Management occupations,Top executives,Health education specialists,Health education specialists
